CENTRE,TOTAL,PUBLISHED,PLAYED,CANCELED,HIDDEN,ORGANISATEURS_UNIQUES,GOLD_EXCLUSIVE_TRUE,GOLD_EXCLUSIVE_FALSE
Gymnase Jacques Chaban - Delmas,3,0,1,2,0,3,1,2
Ile de Loisirs de Cergy-Pontoise,3,2,0,1,0,1,0,3
City stade Tilleuls Boissy,3,2,0,1,0,1,0,3
Stade Pailleron,3,2,1,0,0,2,0,3
Stade Intercommunal de Deuil-la-Barre,3,1,2,0,0,2,1,2
Stade Makowski,3,0,1,2,0,1,0,3
Terrains de Football du Port aux Cerises,3,1,2,0,0,2,0,3
Forest Hill - Aquaboulevard de Paris,3,2,0,1,0,3,0,3
District de football du Val de Marne,3,1,2,0,0,2,0,3
Stade de Beauchamp,3,0,3,0,0,1,0,3
Le B3 Soccer,3,1,1,1,0,2,0,3
Footsall Omnisports Mâcon,3,1,0,2,0,1,3,0
Stade Du Respect,3,2,0,1,0,1,2,1
Lyon V&V Padel,3,1,0,2,0,2,0,3
Killian Palms Country Club,3,1,2,0,0,1,0,3
Fan 96 Club de foot Neuville-en-Ferrain,3,1,2,0,0,1,0,3
La Châtaigneraie Tennis & Padel,3,2,0,1,0,1,0,3
Stade Parfait Lebourg,2,2,0,0,0,1,0,2
Gymnase Joliot Curie,2,1,0,1,0,2,0,2
Stade Michel Hidalgo,2,0,2,0,0,1,0,2
Terrain de rugby,2,0,0,2,0,2,0,2
Stades,2,1,0,1,0,1,0,2
Stade Beauregard,2,2,0,0,0,1,0,2
Almaty Bobigny Futsal,2,2,0,0,0,1,0,2
Foot Time Echirolles,2,2,0,0,0,1,0,2
Stade Fontainieu,2,0,1,1,0,2,0,2
Lycée Eugène Delacroix,2,1,0,1,0,1,0,2
