DOC_ID,CENTRE,STATUS,TYPE,PLACE_ID,LOCATION,DATE,DURATION,PRICE,PRICE_UNDISCOUNTED,VISIBILITY,GOLD_EXCLUSIVE,MOOD,LEVEL,ORGANIZER,ATTENDEES,MAX_PLAYERS,GOOD_PLAYERS,LATE_PLAYERS,NO_SHOW_PLAYERS,RUDE_PLAYERS,INTERESTED,PAYMENT_TYPE
Q4xWBjSFVDxRpsMpc4Ax,LE FIVE Paris 17,canceled,captain,,48.900032&2.3213449,2023-08-16T10:00:00.000Z,60,10,,public,true,Détente,3,RqQhcQ2VPqM8PiMf9ARBfezxQVi1,9,10,0,0,0,0,0,on-site
OX3KYNVN5m1sZZ2UlBWn,LE FIVE Bobigny,canceled,captain,,48.901553&2.4313304,2023-08-16T11:00:00.000Z,60,5,,public,true,Détente,3,9kqy7jIY3GN9zYt3hkUkrI26dJB2,1,10,0,0,0,0,0,on-site
eSb2Fut7zZo6HTqhdGle,Testing Purposes,canceled,pro,,67.461524&-152.801377,2023-08-16T11:00:00.000Z,60,1,,public,false,,,f2LrY7SAV3U1V9tUVAZfiMxA3uu1,0,6,0,0,0,0,0,on-site
Ql2lOzZfyndP3UOFmEg5,Footsal Cousinerie,canceled,captain,,50.6440829&3.1459612,2023-08-16T16:00:00.000Z,90,9,,public,false,Détente,3,dF40vWxa0LQqOtEEfoBuGbICoen2,1,10,0,0,0,0,0,on-site
s9bKIjWhRwMmzvWln7v8,Stadium Thiais,canceled,pro,,48.7511024&2.3713455,2023-08-16T18:00:00.000Z,90,20,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
K4hXOiZFWAxvT2BbYULD,Parc Omnisport Suzanne Lenglen,canceled,captain,,48.8303784&2.2714163,2023-08-17T10:00:00.000Z,120,,,public,false,Compétition,4,jzvI0hZyUEftiOAKHwpxfoQ5KY32,16,16,0,0,0,0,0,on-site
PMiwx8E5qNhJs1UOcOX8,Parc Interdépartemental des Sports du Tremblay,canceled,captain,,48.8281085&2.491365,2023-08-17T17:00:00.000Z,120,,,public,false,Compétition,5,Oq0QFFj3U2aolPqRA6W4haFDhN83,11,22,0,0,0,0,0,on-site
S8VaARcMrbRjrO9AC55M,Testing Purposes,published,pro,,67.461524&-152.801377,2023-08-17T18:00:00.000Z,90,12,,public,false,,,f2LrY7SAV3U1V9tUVAZfiMxA3uu1,0,10,0,0,0,0,0,on-site
fX5FsnOBn68a5LgJYFv9,Stadium Thiais,canceled,pro,,48.7511024&2.3713455,2023-08-17T18:00:00.000Z,90,12,,public,false,,,W3tiH1MM78QLWdHky9dhFfT2vnr2,0,10,0,0,0,0,0,on-site
JeHjpYsgPfdbeqcjsPax,LE FIVE Marville - La Courneuve,played,captain,,48.9361223&2.3872592,2023-08-17T18:30:00.000Z,90,,,public,true,Compétition,3,gZXOaJYmqXZzyHsV0VBGyeg0zw82,10,10,0,0,0,0,1,on-site
